黑色,白色,黄色,宝蓝,红,蓝,绿,
,53.96946565,23.3778626,56.64122137,23.64503817,22.97709924,29.38931298,210
84.02,4.99,2.16,3.75,1.96,1.58,1.54,15.98
,65.57571965,28.38548185,49.28035044,25.7571965,20.76345432,20.23779725,210
83.68,3.93,1.74,4.37,1.92,1.89,2.46,16.31
,50.60085837,22.40343348,56.26609442,24.72103004,24.33476395,31.67381974,210
79.67,5.5,2.17,4.33,2,2.83,3.5,20.33
,56.81259223,22.41515002,44.72700443,20.65912445,29.23266109,36.15346778,210
79.54,4.46,2.13,4.31,4,3.38,2,20.28
,46.18343195,22.05621302,44.63017751,41.42011834,35,20.71005917,210
80.67,8.21,3.62,3.15,1.64,1.6,1.08,19.3
,89.33160622,39.38860104,34.2746114,17.84455959,17.40932642,11.75129534,210
79.17,6.99,3.41,4.85,3.05,1.49,1.05,20.84
,70.43666027,34.36180422,48.87236084,30.73416507,15.01439539,10.5806142,210
76.13,7.69,2.57,7.91,3.19,1.58,0.93,23.87
,67.65395894,22.60997067,69.58944282,28.06451613,13.90029326,8.181818182,210
76.67,7.01,2.47,7.57,3.62,1.72,0.94,23.33
,63.09901414,22.23317617,68.13973425,32.58465495,15.48221174,8.461208744,210
79.77,5.75,2.74,5.55,3.46,1.15,1.57,20.22
,59.71810089,28.45697329,57.64094955,35.9347181,11.94362018,16.30563798,210
77.99,7.09,2.03,8.08,1.76,1.52,1.54,22.02
,67.61580381,19.35967302,77.05722071,16.78474114,14.49591281,14.6866485,210
76.48,6.98,1.79,8.82,0.37,2.17,3.38,23.51
,62.34793705,15.98894088,78.78349638,3.304976606,19.38324117,30.19140791,210
77.6,8.08,1.8,7.91,1.76,1.84,1.02,22.41
,75.71619813,16.86746988,74.1231593,16.49263722,17.24230254,9.558232932,210
76.78,7.94,2.89,6.06,3.32,1.31,1.7,23.22
,71.80878553,26.1369509,54.80620155,30.02583979,11.84754522,15.374677,210
82.39,4.59,1.78,5.26,2.5,1.89,1.59,17.61
,54.73594549,21.22657581,62.72572402,29.81260647,22.53833049,18.96081772,210
