"Daily demand, corridor (passengers per day)";"Corridor info";"";"";""
"Trunk lines, corridor";"Corridor info";"0";"2013";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Corridor length (km)";"Running ways";"9,30";"2013";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Length of segregated lanes, corridor (km)";"Running ways";"0,00";"2017";"ITDP"
"Length of segregated counterflow lanes, corridor (km)";"Running ways";"";"";""
"Length of exclusive lanes, corridor (km)";"Running ways";"";"";""
"Mixed traffic with-flow length, corridor (km)";"Running ways";"";"";""
"Position of with-flow lanes, corridor";"Running ways";"Curbside";"2007";"Bus Rapid Transit Planning Guide (ITDP) 2007"
"Position of counterflow lanes, corridor";"Running ways";"";"";""
"Position of bus doors, corridor";"Running ways";"Right";"2007";"Bus Rapid Transit Planning Guide (ITDP) 2007"
"Lane material on running ways, corridor";"Running ways";"Asphalt";"2007";"Bus Rapid Transit Planning Guide (ITDP) 2007"
"Lane material at stations, corridor";"Running ways";"Asphalt";"2007";"Bus Rapid Transit Planning Guide (ITDP) 2007"
"Grade-separated intersections, corridor";"Traffic engineering";"";"";""
"Fixed signal priority";"Traffic engineering";"";"";""
"Dynamic signal priority";"Traffic engineering";"";"";""
"Stations, corridor";"Stations";"9";"2013";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Station spacing, corridor (m)";"Stations";"1030,0";"2013";"Calculated using corridor length and stations"
"Enhanced stations";"Stations";"Yes";"2015";"http://www.worldbrt.net/en/cities/hangzhou.aspx"
"Pre-board fare collection, corridor";"Stations";"";"";""
"Overtaking lanes, corridor";"Stations";"";"";""
"Station boarding level, corridor";"Stations";"";"";""
"Type of bus guidance";"ITS";"";"";""
"Peak frequency, corridor (buses per hour per direction)";"Travel time";"";"";""
"Operating speed, corridor";"Travel time";"";"";""
"Express services";"Travel time";"";"";""
"Speed limit (km/h)";"Travel time";"";"";""
"Real time information, corridor";"Comfort";"";"";""
"Physically integrated feeders";"Comfort";"";"";""
"Total cost per kilometer, corridor (US$ million per km)";"Cost";"";"";""
"Planning cost, corridor (US$ million)";"Cost";"";"";""
"Infrastructure cost per kilometer, corridor (US$ million per km)";"Cost";"";"";""
"User rating, corridor";"Quality of service";"";"";""
"Corridor annual fatalities";"Road Safety";"";"";""
